央视频道,#genre#
CCTV1,http://113.195.8.69:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.195.8.69:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://113.195.8.69:9901/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://113.195.8.69:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://113.195.8.69:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://113.195.45.181:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://113.195.8.69:9901/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://113.195.8.69:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://113.195.8.69:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://113.195.8.69:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://113.195.8.69:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://113.195.8.69:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV16,http://113.195.8.69:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://113.195.8.69:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
