卫视频道,#genre#
三沙卫视,http://113.195.8.69:9901/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://113.195.8.69:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://113.195.45.181:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://113.195.8.69:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://113.195.8.69:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
内蒙古卫视,http://113.195.8.69:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://113.195.8.69:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
厦门卫视,http://113.195.8.69:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://113.195.8.69:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://113.195.8.69:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://113.195.8.69:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://113.195.45.181:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://113.195.8.69:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://113.195.8.69:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://113.195.8.69:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
山东教育卫视,http://113.195.8.69:9901/tsfile/live/1080_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://113.195.8.69:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://113.195.8.69:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://113.195.8.69:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://113.195.8.69:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://113.195.8.69:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://113.195.8.69:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://113.195.8.69:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://113.195.8.69:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://113.195.8.69:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://113.195.8.69:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://113.195.8.69:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://113.195.8.69:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
甘肃卫视,http://113.195.45.181:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://113.195.8.69:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://113.195.8.69:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://113.195.45.181:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://113.195.8.69:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://113.195.8.69:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
陕西卫视,http://113.195.45.181:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://113.195.8.69:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://113.195.8.69:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://113.195.8.69:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
